Ticker,Company,BusinessModel,RevenueStreams,Expenses,TAM,PL_Top3_Contributors
"ALLTIME","All Time Plastics Ltd","Company makes plastic houseware products. Exports them to overseas retailers who sell under their own brands. Earns steady B2B white-label income.","White-label plastic houseware exports ~100% (FY25-FY26); segment split beyond this: data not found","Total expenses 85.2% of sales (FY26); raw materials: data not found; finance cost Rs 15 cr = 2.5% of sales (FY26)","Data not found (global plastic houseware market)","Export demand from white-label retail clients; polymer raw material prices driving OPM from 19% (FY24) to 15% (FY26); finance cost reduction from debt paydown (Rs 223 cr to Rs 86 cr)"
"CEWATER","Concord Enviro Systems Ltd","Company builds water and wastewater treatment plants, including zero-liquid-discharge and compressed biogas plants. Sells spare parts and runs maintenance contracts on installed plants.","Systems & plants (ZLD, CBG): data not found %; consumables & spare parts: data not found %; O&M: data not found % (FY25)","Total expenses Rs 57.82 cr (FY26); raw materials/employee split: data not found; borrowings minimal at Rs 2.59 cr (FY26)","Data not found (India water treatment / ZLD market)","Lumpy ZLD/CBG project order flow; recurring O&M and spares income; other income offsetting negative operating margin (-3.49% FY26)"
"BALAJEE","Shree Tirupati Balajee Agro Trading Co. Ltd","Company weaves FIBC bulk bags, woven sacks and fabric. Sells industrial packaging to agro and industrial customers.","FIBC bulk bags: data not found %; woven sacks/fabric/tapes: data not found % (FY25)","Total expenses 91% of sales (FY25); raw materials: data not found; interest Rs 12 cr = 3.4% of sales (FY25)","Data not found (India/global FIBC market)","Polypropylene cost vs FIBC price spread (OPM fell 9% FY25 to 5% TTM); export FIBC volumes; interest cost relief from debt paydown (Rs 142 cr FY24 to Rs 109 cr FY25)"
"BORANA","Borana Weaves Ltd","Company weaves unbleached synthetic grey fabric in Surat. Makes polyester textured yarn mostly for its own looms. Sells grey fabric to dyeing and printing customers.","Unbleached synthetic grey fabric ~100% of sales (FY25); polyester textured yarn mainly captive; detailed split: data not found","Total expenses 78% of sales (FY25); interest 1.7% of sales (FY25); depreciation 4.5% of sales (FY25); raw material split: data not found","Data not found (India synthetic grey fabric market)","Polyester yarn cost vs fabric realisation behind 22% OPM (FY25); capacity expansion driving 46% FY25 revenue growth; low interest burden protecting PAT"
"KALPATARU","Kalpataru Limited","Company develops residential and commercial real estate, mainly in Mumbai. Finds land, designs, builds and sells projects. Recently listed via IPO to cut debt.","Real estate project sales ~100% (standalone FY26); residential vs commercial split: data not found","Total expenses 94.8% of standalone sales (FY26); finance cost Rs 184 cr vs Rs 210 cr sales (FY26); depreciation Rs 21 cr (FY26)","Data not found (Mumbai residential real estate market)","Finance cost of Rs 184 cr (FY26) destroying standalone P&L into Rs -16 cr loss; project completion and revenue recognition timing (OPM 31% FY24 to 8% FY26); Mumbai property demand recovery"
"NOVAAGRI","Nova Agritech Ltd","Company makes bio-fertilisers, bio-pesticides, organic fertilisers and micronutrients. Sells to farmers through dealer networks to improve soil health and yields.","Soil health, crop nutrition and crop protection products ~100% (FY25); product-wise split: data not found","Total expenses 86.7% of sales (FY25); finance cost 1.9% of sales (Rs 3.19 cr FY25); raw material/employee split: data not found","Data not found (India bio-fertiliser / organic agri-input market)","Dealer receivables cycle of 436 debtor days dragging cash and profit (TTM PAT Rs 4.82 cr vs Rs 16.52 cr FY25); raw material costs squeezing OPM from 15.4% to 7.8% TTM; seasonal agri demand and monsoon"
"ORIENTTECH","Orient Technologies Limited","Company sells and services IT equipment — servers, storage, networking, security. Runs managed services and shifts client workloads to the cloud.","IT infrastructure, ITeS and cloud & data management services (FY25); vertical split: data not found; revenue Rs 840 cr (FY25)","Total expenses Rs 772 cr (FY25); interest Rs 1 cr (FY25) rising to Rs 6 cr TTM; depreciation jumped Rs 5 cr (FY25) to Rs 18 cr (TTM)","Data not found (India IT services / data centre market)","Thin-margin IT infrastructure hardware resale dominating revenue; cloud and data management services as margin lever; depreciation and interest on new capacity pushing TTM to Rs -3 cr loss"
"TRANSRAILL","Transrail Lighting Ltd","Company builds power transmission and distribution lines and substations on turnkey EPC contracts. Makes transmission poles and towers in-house. Wires the grid across India.","T&D EPC contracts plus poles/towers & monopoles manufacturing (FY25); segment split: data not found; revenue Rs 5,308 cr (FY25)","Finance cost Rs 300 cr = 5.7% of sales (FY25), Rs 219 cr = 3.2% (FY26); raw material/employee split: data not found; borrowings Rs 661 cr (FY25)","Data not found (India T&D EPC market)","T&D EPC order book execution (5-yr PAT CAGR 33%); in-house poles and towers supply supporting margin; falling finance cost (Rs 300 cr FY25 to Rs 219 cr FY26) boosting PAT"
"CELLO","Cello World Ltd","Company makes pens and stationery, moulded plastic furniture and kitchen housewares under the Cello brand. Sells through shops across India.","Writing instruments & stationery, moulded furniture, housewares and consumer glassware (FY25); standalone segment split: data not found","Standalone expense split: data not found; borrowings just Rs 3 cr (FY26) — almost debt-free","Data not found (India writing instruments / houseware / furniture market)","Polymer raw material costs crushing standalone OPM from 10% (FY25) to 3.2% (FY26); pen and stationery volumes as stable core; moulded furniture and houseware demand from consumer cycle"
"FLAIR","Flair Writing Industries Ltd","Company manufactures pens and writing instruments, ranking among India's top three makers. Sells across 115 countries. Also makes stationery products.","Writing instruments (pens) and stationery ~100%; product split: data not found; revenue Rs 949 cr (FY25)","Total expenses 77.4% of sales (FY25); interest 0.4% of sales (Rs 4 cr FY25); depreciation 3.2% of sales (Rs 33 cr FY25); raw material split: data not found","Data not found (India writing instruments market; company states top-3 position, 115 countries)","Pen volumes across mass and premium ranges; polymer/ink raw material costs easing OPM from 19.1% (FY24) to 14.9% (TTM); export sales across 115 countries"
