Ticker,Company,BusinessModel,RevenueStreams,Expenses,TAM,PL_Top3_Contributors
"JNKINDIA","JNK India Limited","JNK India makes fired heaters, cracking furnaces, flares and incinerators for refineries, petrochemical and fertiliser plants. It sells made-to-order heating equipment projects to clients like Reliance and ADNOC.","Heating equipment ~76% of FY25 order inflow; process plants ~15%; flares/incinerators ~9%; FY25 consolidated revenue Rs 838 crore","Raw material steel and fabrication dominate; detailed split data not found","Global heat-exchanger and process-fired-heater market driven by refinery and petrochem capex in India and Middle East; exact size data not found","Order-book execution on heating equipment projects (order book ~Rs 1,220 crore end-March 2025); steel raw material costs and delays; export orders from ADNOC and Reliance cracking furnace order"
"RATNAVEER","Ratnaveer Precision Steel Limited","Ratnaveer makes stainless-steel washers, fasteners, sheets and solar mounting frames across five Gujarat plants. It sells to Indian industry and exports worldwide, leading India in SS washer exports.","SS washers and precision fasteners (largest); SS sheets; solar mounting frames/clamps; FY25 revenue Rs 892 crore; CCL copper clad laminates planned from Nov 2026","SS scrap and skelp raw material dominates (typical 60-70% for such processors); detailed split data not found","India SS fastener/washer market size data not found; global CCL market for PCB materials large and import-dependent in India","Volume growth and better realisations in SS washers/fasteners; value-added solar frames and export mix; nickel/SS scrap price swings on ~5% net margin"
"HAPPYFORGE","Happy Forgings Limited","Happy Forgings forges and machines crankshafts, axle components and engine parts for trucks, tractors and industrial machines. It sells to vehicle makers and tier-1 suppliers in India and abroad.","Axle and engine components ~40% of revenue (FY25); commercial vehicles, farm equipment, off-highway dominate; passenger vehicles 5-6% (FY25) targeted 7.5-8%; e-axle export order from FY25; FY25 revenue ~Rs 1,409 crore","Steel forging input dominates cost base; detailed split data not found","India forging industry plus heavy forgings (wind, defence, capital goods) entry pool; exact TAM data not found","CV and tractor demand cycles driving crankshaft/axle volumes (~40% of revenue); margin discipline (EBITDA 28.6% Q3 FY25); new legs - PV parts, e-axle exports, Rs 1,200 crore heavy forgings capex FY25-27"
"JGCHEM","J.G. Chemicals Limited","J.G. Chemicals makes zinc oxide powder used in tyres, ceramics, cosmetics and pharma. It ranks as India's largest zinc-oxide maker by volume and revenue and sells to tyre makers and other industries.","Rubber/tyre grades largest share; non-rubber grades (ceramics, cosmetics, pharma, agrochem) growing; FY25 revenue ~Rs 848 crore","Zinc metal (hind) raw material dominates; detailed split data not found","India zinc oxide market size data not found; import-substitution headroom in non-rubber grades per company presentation","Tyre industry demand for rubber-grade zinc oxide; zinc raw material price spread; volume growth from new Dahej capacity and non-rubber expansion"
"KRN","KRN Heat Exchanger and Refrigeration Limited","KRN makes fin-and-tube and microchannel heat exchangers that go inside air conditioners and refrigerators. It sells coils to OEMs like Daikin, Blue Star, Lloyd and Emerson plus growing exports.","Fin-and-tube heat exchangers for AC/refrigeration OEMs dominant; exports FY25 - UAE 51.7%, Canada 20.3%, Italy 14.6% (of exports), overseas later ~21% of sales; FY25 PAT Rs 71.31 crore","Aluminium and copper tube/fin stock dominates raw material costs; detailed split data not found","Global heat exchanger market ~USD 330 billion (company-cited industry report)","AC/refrigeration OEM demand (Daikin, Blue Star, Lloyd, Emerson); microchannel facility ramp backing 5-6x three-year guidance; export mix crossing ~20% of sales"
"ACMESOLAR","ACME Solar Holdings Limited","ACME Solar builds and operates solar and wind power plants and sells electricity under long-term contracts. It also runs an in-house EPC arm and battery energy storage (BESS) projects.","Power generation from ~6,970 MW solar/wind portfolio (EBITDA margin 88-89%); BESS ~82% margin; standalone EPC revenue Rs 876 crore (H1 FY25); FY25 revenue Rs 1,575 crore","Depreciation and finance costs dominate IPP accounts; EPC construction costs in EPC arm; detailed split data not found","India targets 500 GW non-fossil capacity by 2030; solar plus storage forms bulk of addressable pipeline","Capacity commissioning (~102% growth FY25) lifting contracted generation; high-margin renewable and BESS EBITDA; finance costs and depreciation as swing factors"
"AZAD","Azad Engineering Limited","Azad machines ultra-precise metal parts - blades, nozzles, fasteners - for aerospace, defence, gas turbines and nuclear plants. It exports to 12 countries with a zero-defect record to global OEMs.","Exports ~90%+ of revenue; aerospace & defence ~19% of revenue Q1 FY25 (from ~9% FY23); energy turbines dominate order book (~Rs 3,500 crore of ~Rs 6,000 crore mid-2025); FY25 revenue ~Rs 590-638 crore","Exotic super-alloy raw materials and skilled machining labour; detailed split data not found","Global aerospace & defence and gas-turbine precision component supply chains; exact TAM data not found","A&D revenue ramp (~19% of Q1 FY25 revenue, +26% YoY later); order-book execution (~Rs 6,000 crore, ~10x revenue); design-led manufacturing growth (Q1 FY25 profit +448%)"
"ENTERO","Entero Healthcare Solutions Limited","Entero distributes medicines and healthcare products from pharma companies to pharmacies, hospitals and clinics across India. It runs warehouses and 3PL services and grows by acquiring regional distributors.","Pharma and consumer healthcare distribution dominant; hospital pharmacy distribution and 3PL/supply-chain services; FY25 revenue ~Rs 5,096 crore; 10 acquisitions added Rs 792 crore annualised revenue","Cost of goods dominates; distribution/freight and employee costs key operating heads; interest on acquisition debt at net level","Indian pharma distribution market - multi-lakh-crore and fragmented, ripe for consolidation; exact size data not found","Operating leverage on thin ~1.9% net margin; acquisition integration (10 deals FY25); working-capital management and interest costs"
"EBGNG","GNG Electronics Limited","GNG Electronics runs the Electronics Bazaar brand and refurbishes used laptops and desktops - buying old IT kit, repairing and certifying it, then reselling in India. It leads India in IT refurbishment.","Refurbished laptops ~76% of FY25 sales; other refurbished IT products ~24%; FY25 revenue Rs 1,411 crore; FY26 ~Rs 1,991 crore","Cost of procuring used IT devices dominates plus refurbishment labour and logistics; detailed split data not found","India refurbished electronics market size data not found; demand from affordable computing, education digitisation, corporate IT refresh","Refurbished laptop volumes (~76% of sales); used-device procurement cost spread; other IT products (~24%) and scale economies"
"STYL","Seshaasai Technologies Limited","Seshaasai prints and makes secure payment products - debit and credit cards, metal cards, QR cheques, MICR cheque books - for Indian banks, plus RFID smart cards and tags and insurance documents.","Payment cards dominant (31.9% India card issuance share FY25); banking instruments - encrypted QR cheques and MICR cheques; RFID tags/IoT and deliverables management; FY25 revenue ~Rs 1,463 crore","PVC/metal card blanks, chips and printing consumables plus freight; detailed split data not found","India payment-card issuance market - company already at 31.9% share FY25; growth via premium metal cards, RFID/IoT tags","Debit-card issuance volumes (~91% of card growth); premium metal/high-tech card mix; new RFID/IoT and fulfilment legs offsetting cheque decline"
