Ticker,Company,BusinessModel,RevenueStreams,Expenses,TAM,PL_Top3_Contributors
"BHARATCOAL","Bharat Coking Coal Limited","Coal India subsidiary digs coking, non-coking and washed coal from 34 mines in Jharia and Raniganj. Sells to steel plants and power companies. Produced 58.5% of India's domestic coking coal in FY25.","Coking coal (largest share, FY25); washed coal from own washeries; non-coking coal; 87% of revenue from top 10 PSU customers (FY25)","Total expenses Rs 14,159 cr (FY25): finance cost Rs 72 cr; depreciation Rs 581 cr; wage/store costs dominate PSU cost base (detailed split data not found)","India coking coal demand 67 mn MT (FY25) growing to 138 mn MT by FY35 (DRHP); BCCL 58.5% domestic production share (FY25)","1) Coking coal volumes and grade mix from 34 mines; 2) notified prices vs wage and store cost inflation (H1 FY26 PAT crash to Rs 124 cr); 3) washed coal premium and mine reopenings"
"BLEL","Behari Lal Engineering Limited","Makes iron and steel products: alloy steel bars, metal rolls for rolling mills, heavy engineering castings, forged shafts. Serves steel plants, auto and aerospace part makers; exports to 21 countries. Meets 10-11.5% of India's metal rolls demand (FY26, CRISIL).","Alloy steel products ~46% (FY26); metal rolls ~26% (FY26); engineering castings ~20% (FY26); forging ingots/shafts balance","Raw materials (scrap, steel) dominate costs (split % data not found); interest Rs 2 cr and depreciation Rs 9 cr (FY25)","Metal rolls domestic demand ~10-11.5% served by BLEL (FY26); broader alloy steel market size data not found","1) Alloy steel bars ~46% of FY26 revenue; 2) metal rolls ~26%, niche sticky product; 3) engineering castings ~20% for steel/mining/power/sugar plants"
"CLEANMAX","Clean Max Enviro Energy Solutions Limited","Builds and runs solar, wind and hybrid plants and sells power to factories, hospitals and colleges on long contracts. Also earns from energy services and carbon credits. #1 in India C&I clean power with ~8% share (2025) and 2.80 GW operational.","Renewable power sales (core, FY25); EPC and O&M services; energy services and carbon credits; 78.8% of revenue from Karnataka and Gujarat (FY25)","Interest Rs 369 cr and depreciation Rs 50 cr (FY26 screener); borrowings Rs 7,974 cr consolidated (Mar 2025) - debt cost the biggest head","India C&I renewable market: ~8% company share (2025, IPO documents); absolute size data not found; India 500 GW non-fossil target by 2030","1) power sales from open-access farms to C&I customers; 2) interest cost on ~Rs 8,000 cr debt, main profit killer; 3) EPC/O&M and carbon credits secondary"
"CMLL","Caliber Mining and Logistics Limited","Contract miner (MDO) for Coal India subsidiaries: removes overburden, extracts coal, loads rakes, hauls coal. Owns no mines; runs 1,911 vehicles across Maharashtra, MP and Chhattisgarh.","Coal mining services ~85% (FY26); logistics and rake loading ~15% (FY26); customers WCL and NCL","Interest Rs 81 cr (FY26); borrowings Rs 754 cr, D/E 1.63 (Mar 2026); diesel and machinery opex dominate (split % data not found)","India coal MDO market size data not found; Coal India 1 bn tonne target drives outsourcing; order book Rs 9,551 cr (May 2026)","1) coal mining services 85% of FY26 revenue for WCL/NCL; 2) diesel and fleet operating costs, key margin swing; 3) logistics/rake loading 15%"
"CMPDI","Central Mine Planning & Design Institute Limited","Coal India subsidiary advising governments and miners across the mining lifecycle: exploration, mine planning and design, environmental studies, geomatics, coal beneficiation. Holds ~61% share of India mining consultancy.","Consultancy from Coal India group 66% of revenue (FY25); exploration/drilling for government programs; environmental, geomatics and beneficiation services to other clients (top-10 clients 98% of revenue)","Virtually debt-free; FY26 expenses Rs 1,539 cr - employee and project execution costs dominate (split % data not found); OPM fell 42% to 34% (FY24-FY26)","India mining consultancy market: ~61% CMPDI share (IPO documents); absolute size data not found; Coal India 1 bn tonne expansion drives demand","1) Coal India group consultancy fees, 66% of revenue; 2) exploration/drilling for government mineral programs; 3) employee cost and execution margins - OPM slide from 42% to 34%"
"CMRGREEN","CMR Green Technologies Limited","Recycles scrap metal: melts aluminium scrap into alloy ingots and liquid aluminium for vehicle makers, plus zinc alloys, billets and sorted scrap of copper, brass, lead, steel. Largest secondary aluminium capacity in India (~4x nearest rival).","Aluminium recycling ~82% of revenue (9M FY26); zinc alloys and other metals ~18%; cast alloy volume share 42-45% (FY25)","FY26 standalone: total Rs 4,874 cr, interest Rs 49 cr, depreciation Rs 26 cr; scrap/raw material dominates with OPM just 2.4-3.9% (FY24-FY26)","India recycled aluminium market 2.16 mn MT (FY25): cast alloy 1.01 mn MT, rolled 0.59, extrusion 0.34; EV penetration raises aluminium use","1) scrap price vs LME-linked selling spread on aluminium ingots, 82% of revenue; 2) new extrusion and rolled alloy segments, margin expansion path; 3) FY24 exceptional write-offs that caused the Rs 839 cr loss"
"CORDELIA","Waterways Leisure Tourism Limited","Runs India's only ocean cruise line: single ship MV Empress (796 cabins) sails from Mumbai, Goa, Kochi, Chennai to Lakshadweep and Sri Lanka. Earns from tickets, onboard spending and charters.","Ticket sales (core, FY26); onboard food/drinks/retail; charter income (mix % data not found)","FY26 total expenses Rs 465 cr: interest Rs 14 cr, depreciation Rs 22 cr; fuel, port and ship opex dominate; D/E 1.27 (FY26)","India cruise tourism market size data not found in sources; 549,051 passengers carried since launch shows tiny base with long runway","1) ticket revenue and cabin occupancy on the single ship; 2) onboard spending and charters; 3) fuel/port/ship cost inflation that cut FY26 PAT 69% to Rs 52 cr"
"CORONA","Corona Remedies Limited","Makes and sells branded prescription medicines in India for women's health, heart disease, pain and urology. Repeat doctor prescriptions drive sales; #5 in women's health and pain, #14 in Indian pharma market.","Women's healthcare and pain management (#5 ranked, FY25); cardiology; urology (#9); other therapies - split % data not found","FY26 total Rs 1,109 cr: interest Rs 7 cr, depreciation Rs 38 cr; marketing and raw materials dominate (split % data not found); D/E 0.10","Indian Pharmaceutical Market (company rank #14); absolute IPM size data not found in fetched sources; women's health and urology grow faster than market","1) women's healthcare brands, flagship franchise; 2) pain management portfolio, high-repeat scripts; 3) marketing efficiency and new launches - OPM rose 15% to 21% (FY24-FY26)"
"CSM","CSM Technologies Limited","Builds e-governance software for mining, agriculture, trade, education and health departments across India and 13 other countries including Kenya, Ethiopia, Rwanda, Malawi. Helps governments move services online.","Government software contracts in mining and allied sectors (India core, FY26); African government deals (Ethiopia, Kenya, Rwanda, Malawi); consulting and digital identity/DPI exports","FY26 total Rs 174 cr: interest Rs 7 cr, depreciation Rs 6 cr; employee costs dominate (split % data not found); debtor days 154","Global GovTech market size data not found; India digital governance spend plus Africa DPI programs form demand base; order book Rs 358 cr (Mar 2026)","1) India government mining-sector software contracts; 2) lumpy African deals with currency risk; 3) employee cost control - OPM improved 14% to 18% (FY24-FY26)"
"DHOOTTRANS","Dhoot Transmission Limited","Makes wiring harnesses (wire bundles carrying electricity in vehicles) plus battery packs, switches, sensors and controllers for two- and three-wheeler makers. ~70% share of EV 2W/3W wiring (FY26); 41% of India 2W/3W harness market by value.","Wiring harnesses for 2W/3W incl. EV (~70% EV segment share, FY26); battery packs; switches/sensors/controllers/power cords; ~95% of products EV-focused or powertrain-neutral","Raw materials (copper, connectors) dominate (split % data not found); FY25 standalone interest Rs 46 cr, depreciation Rs 56 cr; borrowings Rs 482 cr (Mar 2025)","India 2W/3W wiring harness market: Dhoot 41% by value (FY26), implying ~Rs 7,000+ cr (derived); absolute EV harness TAM data not found","1) EV 2W/3W harnesses, ~70% segment share, profit engine; 2) battery packs and electronics, second curve; 3) copper cost and receivables squeeze - PAT margin fell 10.7% to 8.7% (FY24-FY26)"
