Ticker,Company,BusinessModel,RevenueStreams,Expenses,TAM,PL_Top3_Contributors
"MANBA","Manba Finance Ltd","NBFC lends money for used two-wheelers, three-wheelers, used cars, and small business loans. Works through 1,118 dealers across 71 locations in 6 states. Serves rural and semi-urban borrowers big banks skip.","Vehicle loans (2W/3W/used car) majority of book (FY25); small business loans; personal loans; interest income Rs 108 cr FY25","Interest cost ~46% of revenue (FY26 TTM); operating expenses ~34% of revenue","India used 2W/small vehicle financing market; exact size data not found","Interest spread (financing margin ~22%); used 2W/3W loan volumes via dealer network; small business and personal loan add-ons"
"PYRAMID","Pyramid Technoplast Ltd","Makes polymer industrial packaging: HM-HDPE drums, barrels, jerry cans, and IBC containers. Sells to agrochemical, specialty chemical, lubricant, and pharma companies across India.","IBC containers and drums form core product line, mix % data not found (FY25 revenue Rs 591 cr); TTM Rs 740 cr","Polymer (HDPE) raw material the dominant cost; borrowings Rs 184 cr with interest Rs 10 cr TTM","India rigid industrial plastic packaging; exact size data not found","IBC sales to agrochem/specialty chem customers; polymer raw material prices; capacity utilisation and freight"
"TRAVELFOOD","Travel Food Services Ltd","Runs airport restaurants (travel QSR) and airport lounges across India and abroad. Holds ~26% of Indian airport travel-QSR and ~45% of airport lounge market (FY25).","Travel QSR ~26% market share (FY25); lounges ~45% market share incl JVs (FY25); FY25 revenue Rs 1,214 cr standalone","Employee and operating costs majority (FY25 expenses Rs 743 cr); finance cost Rs 44 cr; depreciation Rs 118 cr","India airport dining/lounge market; 300 mn+ air passengers annually (FY24-25 era); exact size data not found","Airport lounge business (~45% share, highest margin); passenger traffic growth; operating leverage (OPM 33% to 45%)"
"TRUALT","TruAlt Bioenergy Ltd","Produces ethanol and biofuels from molasses and grain, 1,800 KLPD operational capacity. Sells mainly to government oil marketing companies for fuel blending.","Ethanol to OMCs main revenue (FY25 Rs 1,880 cr); biofuel by-products; FY26 revenue Rs 1,705 cr","Feedstock (molasses/grain) main cost; interest Rs 164 cr TTM on Rs 1,586 cr debt; depreciation Rs 88 cr TTM","India E20 ethanol blending programme; 1,000+ crore litres demand, Rs 50,000+ cr approximate","Government-set ethanol prices; feedstock cost swings; interest burden Rs 164 cr TTM vs PAT Rs 143 cr"
"CARRARO","Carraro India Ltd","Makes axles, transmission systems, gears, and drivelines for tractors and construction equipment as Tier-1 supplier to off-highway OEMs. Indian arm of Italy's Carraro Group, listed December 2024.","Axles/transmission/gears for agri and construction OEMs (FY25 Rs 1,792 cr); segment mix % data not found; TTM Rs 2,290 cr","Raw materials (steel/gears) dominant cost, % data not found; debt reduced to Rs 155 cr (Mar 2026)","India tractor market ~9 lakh units/yr plus construction equipment; exact driveline TAM data not found","Tractor OEM volumes; operating leverage (OPM 7% to 9-10%); exports/gears via global Carraro network"
"JARO","Jaro Institute of Technology Management and Research Ltd","Runs an online higher-education platform selling MBA, DBA, MCA, B.Com degrees and certifications with 36 university partners including 7 IIMs and 7 IITs. Listed September 2024.","Online degree programmes (MBA/executive core, mix % data not found); FY25 revenue Rs 252 cr; TTM Rs 284 cr","Advertising/marketing and technology main expense base (FY25 total Rs 170 cr); interest Rs 5 cr; depreciation Rs 9 cr; nearly debt free","India online higher education and upskilling market; multi-billion dollar; exact size data not found","Online MBA/executive enrolments; IIM/IIT partnership pricing power (33% OPM FY25); asset-light cost base"
"RAJPUTANA","Rajputana Biodiesel Ltd","Manufactures biodiesel and by-products: glycerine and fatty acids. Sells mainly to oil marketing companies for diesel blending. NSE SME listed January 2025; acquired Arvant Bioenergy August 2026.","Biodiesel to OMCs main channel; glycerine and fatty acid by-products; FY26 revenue Rs 59.1 cr","Feedstock (used cooking oil/acid oil) dominant cost; interest Rs 1.4 cr and depreciation Rs 0.54 cr FY26 on Rs 22.9 cr borrowings","India biodiesel market; 5% blending target; thousands of crores approximate, exact size data not found","Biodiesel sales to OMCs; glycerine/fatty acid by-product margins; feedstock cost swings"
"SAATVIKGL","Saatvik Green Energy Ltd","Makes solar PV modules with 4.86 GW capacity (5.5+ GW delivered), plus solar EPC and O&M services. Listed September 2025.","Solar module sales majority (mix % data not found); EPC and O&M; FY25 revenue Rs 1,974 cr, TTM Rs 2,218 cr","Raw materials (cells/wafers) dominant cost; total expenses Rs 1,785 cr FY25 vs Rs 1,974 cr sales; debt Rs 167 cr (Mar 2026)","India solar module demand 40+ GW annually toward 500 GW renewables by 2030; tens of billions of dollars approximate","Module volumes/prices (price collapse drove TTM PAT -53%); EPC order backlog; other income Rs 120 cr annually"
"UTKARSHBNK","Utkarsh Small Finance Bank Ltd","Small finance bank from microfinance roots focused on rural/semi-urban financial inclusion in Bihar, UP, eastern India. Raises Rs 21,654 cr deposits (Mar 2026) and lends small-ticket microfinance plus MSE loans.","Microfinance loans majority of book (mix % data not found); MSE and other lending; FY25 revenue Rs 3,765 cr","Interest expense Rs 1,742 cr, ~69% of FY25 total expenses Rs 2,518 cr; credit provisions spiked FY25","India microfinance GLP around Rs 4-5 lakh cr (FY25 approximate); exact figure data not found","Microfinance credit costs/npas (FY25 PAT collapsed to Rs 24 cr); deposit cost vs yield spread; branch deposit growth"
"KRYSTAL","Krystal Integrated Services Ltd","Provides integrated facility management: housekeeping, security, staffing, catering, technical, and waste management for hospitals, schools, government, and corporates. Listed March 2024.","IFMS core; staffing/security; catering; waste management (mix % data not found); FY25 revenue Rs 1,113 cr","Employee and subcontracting costs dominant (~93% expense ratio TTM); interest Rs 16 cr; depreciation Rs 11 cr; debt Rs 102 cr","India facility management market over Rs 1 lakh cr approximate, growing high single digits","Long-cycle IFMS contracts with govt/hospital/education clients; manpower cost management; cross-selling into existing sites"
