"Ticker","Company","BusinessModel","RevenueStreams","Expenses","TAM","PL_Top3_Contributors"
"VMSTMT","VMS TMT Limited","Company makes TMT steel bars for buildings and bridges. Also sells billets, binding wire and scrap. Sells to builders and contractors.","TMT bars majority of sales (FY25); allied products - billets, binding wire, scrap - balance (FY25, exact % data not found)","Total Rs 723 crore (FY25); raw-material % data not found - steel/scrap dominates typical TMT cost structure","India TMT bars market - multi-lakh-crore industry; precise figure data not found","1. Steel/scrap input vs TMT bar price spread; 2. Regional construction demand cycle; 3. Plant capacity utilisation"
"BLACKBUCK","BlackBuck Limited (Zinka Logistics Solutions Limited)","Company runs a digital platform for truck operators. Connects shippers with truckers and sells toll payments, fuel payments, tracking and fleet services. Earns fees and subscriptions.","Freight services majority (FY25); payment solutions (toll/fuel), telematics and fleet services - exact % data not found","Total Rs 331-333 crore (FY25); employee/marketing split data not found","Indian trucking/freight market estimated US$150 bn+ per IPO coverage; exact sourced figure data not found","1. Freight matching and payment take-rates as trucker base scales; 2. Fleet subscription services (telematics, finance facilitation); 3. Employee and marketing cost discipline vs revenue growth"
"BRIGHOTEL","Brigade Hotel Ventures Limited","Company owns and runs hotels in South Indian cities under Marriott-family brands. Earns from room tariffs plus food, beverage and banquets. Serves business and leisure travellers.","Rooms (FY25 majority); food & beverage / banquets - exact % data not found; total Rs 404 crore (FY25)","Operating costs ~66% of revenue (OPM 34% FY25); employee/lease split data not found; finance costs on Rs 309 crore debt","Indian hotel industry - multi-billion-dollar and growing; precise South India figure data not found","1. Occupancy and average room rate cycle; 2. Food & beverage, banquet and MICE revenue; 3. Finance costs - debt cut from Rs 1,001 crore (Mar 2024) to Rs 309 crore"
"GANESHCP","Ganesh Consumer Products Limited","Company grinds wheat into packaged atta, maida, sooji, besan and sattu under the Ganesh brand. Sells through grocery shops in East India and beyond.","Atta 3rd-largest brand East India (FY25); wheat derivatives largest in East India; sattu 43.4% market share; besan 4.9% - segment revenue % data not found","Total Rs 777 crore (FY25); raw material (wheat/grain) dominates - exact % data not found","India branded staples/atta market estimated Rs 12,000-15,000 crore range; exact sourced figure data not found","1. Wheat cost vs atta realisation; 2. Volume growth and premiumisation in East India; 3. Distribution expansion into new states and exports"
"INDOFARM","Indo Farm Equipment Limited","Company builds tractors (16-110 HP) and pick & carry cranes (9-30T) at its Baddi plant. Sells via dealers across India and exports to 30+ countries.","Tractors and pick & carry cranes (FY25, total Rs 348 crore); exact segment % data not found - cranes carry richer margins","Total Rs 300 crore (FY25), ~86% of sales; raw material/employee split data not found","India tractor industry ~7-9 lakh units annually (FY25, industry estimates); pick & carry crane market low-thousand-crore range - exact sourced figures data not found","1. Pick & carry crane volumes and pricing (high-margin niche); 2. Tractor demand cycle (monsoon, farm incomes); 3. Steel input costs and operating leverage"
"CAPILLARY","Capillary Technologies India Limited","Company sells loyalty and customer-engagement software to big enterprises on multi-year subscriptions. Brands use it for reward points, offers and shopper analytics. Serves 415+ brands across 49 countries.","Subscription-led SaaS revenue Rs 212 crore (FY25); product-wise split data not found","Total Rs 141 crore (FY25); employee/other split data not found","Global customer loyalty management market estimated US$5-10 bn, double-digit growth (analyst estimates); exact sourced figure data not found","1. Recurring enterprise subscription revenue; 2. Operating cost leverage (expenses fell while sales grew in FY25); 3. Cross-sell of AI analytics into existing brands"
"DOMS","DOMS Industries Limited","Company makes pencils, pens, erasers, instrument boxes and art supplies under the DOMS brand. Sells to students and artists in India and 55+ countries. India's 2nd-largest branded stationery player.","Pencils and writing instruments core (29% India pencil share FY23); instrument boxes 30% share (FY23); 8 categories, 4,600+ SKUs - revenue % data not found","Raw materials (wood, polymer, graphite) dominate an ~18% OPM business; exact split data not found","India branded stationery and art products market estimated Rs 12,000-15,000 crore (industry estimates); exact sourced figure data not found","1. Pencil and instrument-box volumes; 2. New categories (art material) and exports; 3. Gross margin on wood/polymer inputs and operating leverage"
"FABTECH","Fabtech Technologies Limited","Company builds cleanrooms and turnkey pharma plants - designing, installing and validating factories for drugmakers. Also supplies standalone equipment.","Turnkey pharma plant solutions majority (FY25, total Rs 236 crore); standalone equipment supply balance - exact % data not found","Total Rs 210 crore (FY25); interest Rs 3 crore, depreciation ~Rs 2 crore; detailed split data not found","India pharma capex/cleanroom engineering market growing with PLI and US-FDA capacity additions; precise figure data not found","1. Order book and execution of turnkey pharma projects; 2. Project operating margin (fell FY24 to FY25); 3. Pharma capex cycle for regulated-market supply"
"GARUDA","Garuda Construction and Engineering Limited","Company builds residential, commercial, industrial and infrastructure projects end-to-end. Also earns O&M and MEP service income. Executes for private and government clients.","Civil construction (residential, commercial, government) majority (FY25 total Rs 225 crore); O&M and MEP services balance - exact % data not found","Total Rs 159 crore (FY25), ~71% of revenue","India construction industry - multi-lakh-crore market growing with infra and real estate capex; precise figure data not found","1. Large project execution pace (milestone revenue recognition); 2. Rich 30%+ OPM on finishing/MEP and O&M work; 3. Client and segment mix (commercial/government vs residential)"
"HDBFS","HDB Financial Services Limited","Company lends money to individuals, micro-enterprises and businesses - a subsidiary of HDFC Bank. Runs consumer finance, enterprise lending and asset finance. Makes money on the spread between lending and borrowing rates.","Enterprise lending, asset finance and consumer finance (FY25 total revenue Rs 16,300 crore); segment % data not found","Total Rs 6,745 crore (FY25); financing costs and credit provisions dominate - split data not found","India retail and MSME credit market - NBFC AUMs run into tens of lakh crore rupees; precise sourced figure data not found","1. Net interest margin (parent HDFC Bank lowers funding cost); 2. Credit costs on MSME/consumer loans (drove FY25 PAT dip); 3. Loan book growth across three segments"
