Ticker,Company,BusinessModel,RevenueStreams,Expenses,TAM,PL_Top3_Contributors
"MOBIKWIK","One Mobikwik Systems Ltd","Runs a wallet and payments app. Consumers pay bills, recharge and pay shops through it. Earns fees from merchants and from arranging small loans via partner banks.","Payments services ~75% and credit (ZIP) ~20% plus other ~5% (FY24 DRHP mix); FY25 total revenue Rs 1170 cr","Payment processing and marketing costs dominate; borrowings Rs 276 cr (FY25) with interest ~Rs 25 cr; no raw materials","India digital payments US$3 trillion+ transaction value (FY24 industry reports); exact TAM data not found","Payment services fees; credit (ZIP) take rates; cost discipline swing (FY25 loss Rs 122 cr)"
"SAMHI","Samhi Hotels Ltd","Owns hotels across India and pays Marriott, Hyatt and IHG to run them. Earns from guest rooms, food and beverage, and banquets.","Room revenue ~70-75% (FY25); F&B ~20-25%; other ~5%; FY25 revenue Rs 1123 cr, FY26 Rs 1248 cr","Rooms and F&B operating costs; interest Rs ~151 cr (FY26) down from ~Rs 346 cr (FY4); depreciation ~Rs 118 cr FY26","India branded hotel room supply, few lakh rooms; RevPAR growing low-teens (FY25 company presentations)","Room revenue growth (RevPAR +12-16% FY25); falling finance costs; AC Hotels portfolio (962 rooms) ramp-up"
"BMWVENTLTD","BMW Ventures Ltd","Sells steel products through stockyards across Eastern India. Fabricates pre-engineered buildings and girders, distributes tractor engines and spares, and makes PVC pipes (BMW Polytube).","Steel distribution bulk of revenue (FY26 total Rs 2279 cr); fabrication, tractor parts and PVC pipes smaller (split data not found)","Cost of steel ~95% of sales (OPM 3-4% FY26); interest ~Rs 28 cr FY26; thin all-in cost structure","India steel consumption 150+ million tonnes (industry estimates); PEB market thousands of crores","Steel price spread; fabricated steel/PEB volumes; interest and working-capital cost"
"TENNIND","Tenneco Clean Air India Ltd","Makes exhaust and clean-air systems, powertrain parts and aftermarket ride products for Indian vehicle makers. Also exports to Tenneco's global plants.","Clean Air & Powertrain and ART aftermarket segments (FY26 revenue Rs 5405 cr, +10.5%); segment split data not found","Raw materials (steel, substrates) largest; employee and other costs; interest only ~Rs 30 cr FY26","India auto components US$70-80 billion (ACMA estimates)","OEM volumes (car/commercial cycle); ART aftermarket margins; exports and new emissions-tech content"
"VSTL","Vibhor Steel Tubes Ltd","Makes steel pipes and tubes - ERW black, galvanised, hollow sections and primer-painted pipes - at plants in Maharashtra and Andhra. Sells mainly to pipe brands with Jindal Pipes as key customer.","Pipes and tubes ~100% (FY26 revenue Rs 1151 cr); product-wise split data not found","Raw material (HR coil) ~95% of sales (OPM 3-5%); interest ~Rs 15 cr FY26; depreciation ~Rs 17 cr FY26","India steel tubes and pipes market, thousands of crores (industry estimates)","Conversion spread over coil cost; Jindal Pipes volumes; freight and interest costs"
"MAMATA","Mamata Machinery Ltd","Builds packaging machines - vertical and horizontal form-fill-seal bag-making lines - plus spares and service. Sells in India and exports worldwide under the Mamata brand.","Machines bulk, spares and service minority (FY25 revenue Rs 255 cr; FY26 Rs 233 cr); exports a majority per DRHP coverage, exact split data not found","Raw materials and bought-out components dominate; employee costs modest; near debt-free with interest under Rs 1 cr","Global packaging machinery US$50+ billion (industry estimates)","Machine sales timing (lumpy quarters); export orders at higher margin; spares and service annuity"
"JIOFIN","Jio Financial Services Ltd","Lends to consumers, shops and homebuyers through its app and the Relatio ecosystem. Also runs insurance broking, payments and an asset-management JV with BlackRock.","Interest income from lending (FY26 total income Rs 3513 cr); treasury and investment income; fee income from insurance/payments; AMC JV","Interest cost ~Rs 900 cr FY26 (rising with loan book); operating expenses ~Rs 1410 cr FY26","India retail credit, tens of lakh crores; digital lending growing 20%+ p.a. (RBI/industry estimates)","Net interest income vs borrowing costs; treasury/investment income (Sep-quarter one-offs); new verticals scaling (insurance, AMC)"
"SURAJEST","Suraj Estate Developers Ltd","Builds and sells homes in South Mumbai and redevelops old buildings. Also develops business parks on the city periphery.","Residential sales bulk; redevelopment and periphery business parks rest (FY25 revenue Rs 549 cr; FY26 Rs 556 cr); split data not found","Construction cost largest; finance cost ~Rs 80-90 cr FY26 falling from FY4; approvals and marketing costs","Mumbai residential market plus island-city redevelopment pipeline worth tens of thousands of crores (industry estimates)","South Mumbai project completions (lumpy); redevelopment/SRA projects margin; falling finance costs"
"BHARTIHEXA","Bharti Hexacom Ltd","Runs mobile phone and home-broadband services in the Rajasthan and North-East circles as a Bharti Airtel subsidiary. Customers pay monthly tariffs for calls and data.","Mobile services ~85-90% (FY26 revenue Rs 9354 cr); home broadband rest; split data not found","Network and spectrum costs (depreciation ~Rs 2200+ cr FY26); interest ~Rs 620 cr FY26; employee and licence fees","India telecom services roughly Rs 2.5+ lakh crore annually (TRAI/industry estimates)","Tariff hikes in a 2-3 player market; subscriber mix-up to higher ARPU; home broadband cross-sell"
"IREDA","Indian Renewable Energy Development Agency Ltd","Government-owned lender that gives loans for solar, wind, hydro and other green-energy projects. Earns the spread between lending yields and its own borrowing cost.","Interest income on renewable loans ~all (FY25 revenue Rs 6743 cr; FY26 Rs 8310 cr); fee income minor","Interest cost ~Rs 5000+ cr FY26 (largest head); provisions (Jun-25 quarter spike); operating expenses ~Rs 1000+ cr FY26","India renewable investment US$30-35 billion+ per year toward 500 GW by 2030 (government estimates)","Loan book growth ~20%+; cost of funds spreads; asset quality (provision spikes)"
