Ticker,Company,BusinessModel,RevenueStreams,Expenses,TAM,PL_Top3_Contributors
"MOTISONS","Motisons Jewellers Ltd","Sells gold, diamond and kundan jewellery plus silver, platinum, coins and utensils from Jaipur showrooms since 1997. Offers 3,00,000+ traditional and modern designs. Earns from retail counter sales.","Jewellery retail Rs 462 crore (FY25); product-wise split (gold/diamond/silver %) data not found","Bullion and stones dominate costs; total expenses Rs 394 crore (FY25); head-wise split data not found","India jewellery market very large; verified TAM figure data not found","Gold jewellery volume and gold price; premium diamond/kundan mix; Jaipur showroom footfall"
"OMFREIGHT","Om Freight Forwarders Ltd","Moves export-import cargo across sea, air, road and rail as a 3PL provider since 1995. Handles multimodal transport and customs clearance for exporters and importers.","Freight forwarding Rs 489 crore (FY25); segment-wise % split data not found","Purchased freight/transport charges dominate; detailed split data not found","Indian logistics market exceeds Rs 10 lakh crore; exact verified figure data not found","Global freight rate cycles (FY24 crash, FY25 recovery); India EXIM cargo volumes; 3PL network operating leverage"
"EUROPRATIK","Euro Pratik Sales Ltd","Makes decorative wall panels and laminates under Euro Pratik and Gloirio brands. Designs, brands and distributes in-house; outsources manufacturing. Sells to designers, retailers, homeowners.","Decorative wall panels Rs 221 crore (FY24), Rs 284 crore (FY25), Rs 335 crore (FY26); panel % split data not found","Outsourced manufacturing, distribution, marketing; head-wise % data not found","India decorative panels/laminates market size data not found","Decorative wall panels core brand; Gloirio second brand premium; distribution expansion and renovation demand"
"IGIL","International Gemological Institute Ltd","Certifies and grades diamonds, gemstones and jewellery as the world's largest independent certifier. Serves diamond manufacturers, retailers and lab-grown producers.","Certification services Rs 898 crore (FY23), Rs 1,053 crore (FY24), Rs 1,363 crore (FY25 TTM); LGD vs natural split data not found","Total expenses Rs 536 crore (FY25 TTM): interest Rs 10 crore, depreciation Rs 50 crore; people-heavy labs","Global diamond certification market size data not found; LGD volumes expanding pool","Lab-grown diamond certification volumes; natural diamond grading; operating leverage at 61% OPM"
"LAXMIDENTL","Laxmi Dental Ltd","Makes dental products: crowns/bridges via lab services, clear aligners (Bizdent), aligner materials and machines, paediatric products (Kids-e-Dental). Second-largest Indian dental lab, largest exporter.","Dental lab services + aligners + paediatric Rs 162 crore (FY23), Rs 194 crore (FY24), Rs 239 crore (FY25); segment % data not found","Total expenses Rs 196 crore (FY25) incl. interest Rs 6 crore; head-wise split data not found","India dental consumables/aligner market size data not found","Dental lab services base; Bizdent clear aligners; export business + kids dental line"
"ORKLAINDIA","Orkla India Ltd","Sells Indian packaged foods under heritage brands MTR, Eastern and Rasoi Magic. Consumers buy spice mixes, masalas, ready-to-eat packets in grocery stores.","MTR, Eastern, Rasoi Magic brands Rs 2,172 crore (FY23), Rs 2,356 crore (FY24), Rs 2,395 crore (FY25); brand split data not found","Total expenses Rs 1,998 crore (FY25): raw materials dominate; interest Rs 7 crore, depreciation Rs 62 crore","India packaged foods/masala market size data not found","MTR flagship brand; Eastern masalas regional moat; OPM recovery 14% to 17% (FY25)"
"PLATIND","Platinum Industries Ltd","Makes PVC stabilisers, CPVC additives and lubricants that protect pipes and profiles. Ranks third in India PVC additives with ~13% share. Sells to PVC manufacturers.","PVC/CPVC additives Rs 231 crore (FY23), Rs 264 crore (FY24), Rs 392 crore (FY25); segment % data not found","Raw materials (tin/metal salts) and manufacturing overheads; total Rs 334 crore (FY25); % split data not found","India PVC additives: ~13% share as No. 3 (screener/company); absolute market size data not found","CPVC additive volume growth; PVC stabiliser base; raw material prices (margin crash 23% to 15% FY25)"
"SBFC","SBFC Finance Ltd","Lends secured MSME loans and gold loans to small business owners banks underserve. Borrowers pledge property or gold; fast disbursals.","Secured MSME loans + gold loans: revenue Rs 734 crore (FY23), Rs 1,019 crore (FY24), Rs 1,306 crore (FY25); product % data not found","Interest Rs 421 crore (FY25); operating expenses Rs 410 crore (FY25)","India MSME credit gap large; exact verified TAM data not found","MSME loan book growth; gold loan vertical; spread management (borrowing cost vs yield)"
"JSWCEMENT","JSW Cement Ltd","Makes green cement using GGBS slag from group steel plants; blended cement for construction and infrastructure. Top-10 Indian cement maker by capacity (FY25).","Cement sales Rs 5,810 crore (FY23), Rs 6,002 crore (FY24), Rs 5,785 crore (FY25); product split data not found","Total expenses Rs 5,169 crore (FY25): interest Rs 450 crore, depreciation Rs 310 crore","India world's 2nd-largest cement market; verified absolute size data not found","Cement realisations per tonne; GGBS blended cost edge; interest burden from expansion debt"
"AADHARHFC","Aadhar Housing Finance Ltd","Gives home loans to low-income families: average ticket Rs 10 lakh, mostly under Rs 15 lakh, LTV ~58.3%. Serves small-town borrowers big banks skip.","Home loan interest income Rs 2,043 crore (FY23), Rs 2,587 crore (FY24), Rs 3,109 crore (FY25)","Interest expense Rs 1,174 crore (FY25); other expenses Rs 736 crore (FY25); depreciation Rs 25 crore (FY25)","India affordable housing credit gap large; exact verified TAM data not found","Low-income home-loan book growth; 39% financing margin (FY25) discipline; low 58.3% LTV containing credit costs"
