"Ticker","Company","BusinessModel","RevenueStreams","Expenses","TAM","PL_Top3_Contributors"
"KALAMANDIR","Sai Silks (Kalamandir) Ltd","Company sells sarees and ethnic wear through 86+ stores in South India under four formats (Kalamandir, VaraMahalakshmi Silks, Mandir, KLM Fashion Mall). Wedding and festive shopping drives most sales. Also sells online.","Sarees/ethnic apparel dominant share, exact split data not found (FY25); premium Kalamandir + ultra-premium VaraMahalakshmi + value KLM Fashion Mall formats; 86 stores (Aug 2026)","Purchased goods (silk/garments) dominant head; interest Rs 38 cr (FY26); depreciation Rs 59 cr (FY26); detail data not found","India ethnic-wear market ~USD 15-20 bn growing high-single-digits (FY24 industry estimates)","Wedding/festive saree sales (Dec quarter strongest FY25); new store openings (79 to 86 stores); lower interest cost Rs 60 cr to Rs 38 cr (FY24-FY26)"
"YATRA","Yatra Online Ltd","Company runs an online travel platform booking flights, hotels and holidays for consumers and manages corporate travel for 1,300+ companies. It earns commissions and service fees on bookings.","B2B corporate travel & SME largest chunk (FY25); B2C OTA air/hotels/holidays; exact split data not found","Employees and technology main heads; depreciation Rs 34 cr (FY26); interest Rs 9 cr (FY26); detail data not found","India online travel ~USD 35-40 bn gross bookings, corporate travel ~USD 8-10 bn (FY25 estimates)","B2B corporate bookings growth and take-rate; hotel cross-sell margins; operating leverage (OPM 5% FY25 to 8% FY26)"
"HMAAGRO","HMA Agro Industries Ltd","Company processes and exports frozen buffalo meat plus rice, seafood and pet food. It buys buffalo in India, processes at its plants, and ships mainly to the Middle East and Asia.","Frozen buffalo meat dominant (~10-11% of India buffalo-meat exports); rice, seafood, pet food, leather rest (FY25 split data not found); other income Rs 123 cr FY25 / Rs 184 cr FY26","Raw material (livestock) ~95%+ of sales; interest Rs 38 cr (FY26); depreciation Rs 5 cr (FY26)","India buffalo-meat exports ~USD 3.5-4 bn annually (FY24-FY25, APEDA)","Buffalo cost vs export realisation spread; export incentives/other income Rs 184 cr (FY26); export volume growth driving FY26 sales +59%"
"JAINREC","Jain Resource Recycling Ltd","Company recycles metal scrap into lead, copper and aluminium ingots and alloys. Its lead ingots carry London Metal Exchange registration. A UAE subsidiary sources scrap globally.","Lead ingots historical core; copper and aluminium recycling plus trading growing fast (FY26); exact segment split data not found","Scrap purchase ~93-94% of sales; interest Rs 96 cr (FY26); depreciation Rs 11 cr (FY26)","Global non-ferrous scrap recycling >USD 100 bn; India secondary metals multi-billion and underpenetrated (FY25 estimates)","Scrap-to-metal recycling spread (OPM 5-6%); volume scale-up 50% sales CAGR FY24-FY26; copper/aluminium and UAE trading mix"
"CRIZAC","Crizac Ltd","Company connects education agents with universities abroad. Universities pay it commission when agents place international students in UK, Canada, Ireland, Australia or New Zealand.","University placement commissions, UK dominant (FY25 split premium-gated, data not found); brand management/admission-office services minor","Very light: total expenses Rs 44 cr on Rs 267 cr sales (FY26); depreciation Rs 26 cr (FY25); zero interest","~1.3 mn Indian students abroad (FY24-25); global agent commission pool ~USD 3-5 bn annually","UK placement volumes and commission rates; recovery in Canada/Ireland/Australia post FY25; zero-debt model drops operating profit to PAT"
"DBEIL","Deepak Builders & Engineers India Ltd","Company builds government projects: hospitals, stadiums, institutional buildings, flyovers and railway bridges, won via competitive tenders. It also sells leftover steel and cement.","Construction projects (buildings/hospitals/stadiums) main; infrastructure (flyovers, ROB/RUB, station upgrades) second (FY25 split data not found); leftover material sales minor","Steel, cement and subcontracting dominant; interest Rs 26 cr (FY26); depreciation Rs 7 cr (FY26); detail data not found","India construction industry ~Rs 12-15 lakh crore (FY25 estimates); government capex rising","Tender execution margin (OPM 22% FY24 to 15% FY26); order-book execution; interest and 204-day receivable cycle"
"WCIL","Western Carriers (India) Ltd","Company moves freight by rail, road and river for large industrial clients, running asset-light supply-chain services: freight forwarding, customs, warehousing and port handling.","Multi-modal rail-focused freight dominant; road/river transport, customs house agency, warehousing/C&F add (FY25 split data not found)","Freight and hire charges biggest head; depreciation Rs 28 cr (FY26); interest Rs 18 cr (FY26); detail data not found","India logistics ~USD 200+ bn (FY24 estimates); rail/container freight growing","Rail freight margin per TEU (OPM 9% FY24 to 4.7% FY26); new Kolkata cargo terminal capex; 139-day receivable working capital"
"SOLARWORLD","Solarworld Energy Solutions Ltd","Company builds solar power plants (EPC) for government utilities and industrial clients. It now also makes battery storage systems (BESS) and solar modules; recent 2025 IPO funded expansion.","Solar EPC dominant (FY26); BESS supply ramping from FY27; module/cell manufacturing; exact split data not found","Modules, inverters and construction materials dominate; interest Rs 14 cr (FY26); depreciation near zero; detail data not found","India targeting ~500 GW non-fossil by 2030; 30-40 GW annual solar adds plus multi-GW BESS (FY25-30 estimates)","EPC order-book conversion (FY26 revenue doubled); BESS ramp; other income Rs 51 cr FY26 (~29% of pre-tax)"
"USK","Udayshivakumar Infra Ltd","Company builds roads, bridges, canals and irrigation works, mostly for Karnataka government bodies. It also makes ready-mix concrete.","Roads and irrigation/canal projects core; RMC manufacturing secondary (FY25 split data not found)","Bitumen, cement, steel and subcontracting dominate; interest Rs 8 cr (FY26); depreciation Rs 9 cr (FY26); detail data not found","India infrastructure pipeline ~Rs 10+ lakh crore FY25-30; state road/irrigation capex large","Government order inflow (FY25 collapse caused loss); execution margin (OPM 1% FY25 to 7% FY26); interest+depreciation Rs 17 cr fixed costs"
"VPRPL","Vishnu Prakash R Punglia Ltd","Company builds water-supply systems — pipelines, tanks, treatment plants and irrigation — for governments across 9 states, plus railway and road projects.","Water supply projects 76% (H1 FY25); railway and road/civil works rest; FY26 split data not found","Pipes, cement, steel and subcontractors dominate; interest Rs 74 cr (FY26); depreciation Rs 22 cr (FY26); detail data not found","India water infrastructure: Jal Jeevan Mission and allied programmes, lakh-crore spend FY24-FY26","Government receivable collections (FY26 collapse from provisions); execution margin (OPM 14% FY24 to -10% FY26); Rs 74 cr interest burden"
