Ticker,Company,BusinessModel,RevenueStreams,Expenses,TAM,PL_Top3_Contributors
"HILINFRA","Highway Infrastructure Ltd","Company collects tolls on highways, builds road and EPC infrastructure projects, and sells real estate. Runs tollways across 11 states and 1 union territory.","Toll collection (majority, FY25); EPC infra projects; real estate — exact split data not found","Total expenses Rs 398 cr (FY25); borrowings Rs 61 cr (Mar FY25); cost split data not found","India road sector capex ~Rs 2.6 lakh cr/yr (FY24, NHAI/MoRTH budget); toll industry Rs 40,000+ cr/yr","Toll collection revenue (stable core); EPC execution margin pressure (OPM 7% FY24 to 5% FY25); real estate sales (small, lumpy)"
"TOLINS","Tolins Tyres Ltd","Company makes precured tread rubber for tyre retreading and sells tyres for LCVs, tractors and two/three-wheelers. Also makes bonding gum, solutions, flaps and tubes in-house, with Gulf exports.","PCTR retreading rubber (core, FY25); tyres LCV/agri/2W-3W; allied products and exports — exact split data not found","Raw materials (natural rubber) dominant — OPM swung 10-18% (FY23-FY25); borrowings cut to ~Rs 4 cr; interest Rs 1 cr (FY26)","India tyre retreading market ~Rs 12,000-15,000 cr/yr (FY24 industry estimates)","PCTR tread rubber sales; natural rubber price moves (OPM 10-18% swing); tyre sales and Gulf exports"
"ZAGGLE","Zaggle Prepaid Ocean Services Ltd","Company runs a digital platform that manages corporate spending — prepaid cards, expense automation and reward/gift card programs. Connects banks, payment networks and company ERP systems.","Corporate payments/prepaid cards (bulk, FY25); employee tax-benefit programs; SaaS spend-management subscriptions — exact split data not found","Total expenses Rs 1,187 cr (FY25) incl. payment pass-through costs; interest Rs 8 cr; depreciation Rs 15 cr; OPM ~9%","India corporate cards + employee benefits market Rs 50,000+ cr (FY24 industry estimates)","Payment volumes on prepaid cards; tax/benefit programs (taxi, food, gift cards); high-margin SaaS subscriptions"
"AWFIS","AWFIS Space Solutions Ltd","Company provides flexible office space — single desks to custom offices for startups, SMEs and corporates. Ran 208 centers with 134,000+ seats across 18 cities (Mar FY25), mostly asset-light managed seats.","Workspace rental/seats (~95%, FY25); allied services (Fitouts by AWFIS etc.)","FY25 expenses Rs 799 cr: rentals/CAM to partners ~Rs 387 cr; depreciation Rs 276 cr; interest Rs 136 cr","India flexible workspace ~55-65 mn sq ft, growing double-digit (2024 CBRE/JLL reports)","Seat occupancy/utilization; rental-CAM payouts to partners; depreciation and interest on fit-outs (Rs 412 cr combined FY25)"
"PINELABS","Pine Labs Ltd","Company runs a merchant commerce platform — POS machines, payment processing, gift card/prepaid issuance (Qwikcilver) and merchant lending/BNPL via Fave. Serves merchants, brands and banks.","Payment services/POS (core, FY25); gift card and prepaid issuance; embedded finance/BNPL — exact split data not found","FY25 expenses Rs 1,421 cr incl. depreciation Rs 213 cr and interest Rs 70 cr; OPM 11% (FY25)","India merchant payments/POS industry revenue Rs 30,000+ cr (FY24 RBI/industry reports)","POS payment volumes; Qwikcilver gift card issuance (higher margin); depreciation and interest drag (Rs 283 cr FY25)"
"SIGNATURE","Signatureglobal (India) Ltd","Company builds and sells affordable and mid-segment apartments in Delhi NCR, mainly Gurugram. Claims 27% share in Gurugram affordable/mid housing (company disclosure).","Residential apartment sales, Gurugram/NCR (affordable + mid-segment, FY25); exact project mix data not found","FY25 expenses Rs 1,747 cr; interest Rs 267 cr (TTM FY26); depreciation Rs 22 cr; borrowings Rs 3,275 cr (Mar FY26)","Indian residential real estate ~Rs 3-4 lakh cr annual sales (FY24 ANAROCK/industry)","Gurugram residential sales/prices (FY25 revenue doubled); interest cost Rs 267 cr FY26 (biggest drag); lumpy project completion recognition"
"STANLEY","Stanley Lifestyles Ltd","Company designs, makes and sells luxury and super-premium furniture — mainly sofas and seating — through its own store network across India. Vertically integrated from design to retail.","Sofa/seating (dominant, FY25); other furniture via Stanley, Sofas & More, Boutique and Level Next formats — exact split data not found","TTM expenses Rs 192 cr incl. interest Rs 8 cr, depreciation Rs 15 cr; leather/foam inputs dominant; OPM 5-9%","Indian furniture market ~Rs 1.2-1.5 lakh cr (FY23 industry estimates); premium/luxury a small rising slice","Sofa/seating sales in own stores; other income Rs 22.6 cr padding PAT; leather/foam costs and store opex"
"EPACK","EPACK Durable Ltd","Company designs and manufactures room air conditioners and components (indoor and outdoor units) on an ODM basis for big brands, plus small appliances. Clients own the brand names.","RAC ODM manufacturing (dominant, FY25); small appliances; components — exact split data not found","Copper/steel/aluminum raw materials dominate (OPM 6-8% FY23-FY25); interest Rs 61 cr; borrowings Rs 676 cr (Mar FY26)","Indian room AC market ~11-12 mn units/yr (FY24 industry estimates), under-10% household penetration","RAC ODM volumes for brand clients; copper/steel input costs; interest on Rs 676 cr debt (Rs 61 cr)"
"GODIGIT","Go Digit General Insurance Ltd","Company sells general insurance — motor, health, travel, property, marine, liability — fully online through a digital model. It designs products, distributes via platform and partners, and settles claims.","Motor insurance (largest line, FY25); health; travel/property/marine/liability — exact GWP split data not found","Claims payouts dominant (total expenses Rs 9,250 cr FY25 vs revenue Rs 9,370 cr); other income ~Rs 468-472 cr supports PAT","Indian non-life GWP ~Rs 2.5-2.9 lakh cr (FY24 IRDAI), underpenetrated, growing low-to-mid teens","Motor underwriting; investment/other income ~Rs 468-472 cr; health insurance growth"
"UNIECOM","Unicommerce eSolutions Ltd","Company runs the Uniware SaaS platform that manages e-commerce operations — orders, inventory, warehouses and omnichannel fulfilment — for 7,596+ brands, sellers and logistics firms in India, Middle East and Southeast Asia.","SaaS subscriptions on Uniware platform (dominant, FY25); setup/onboarding and allied services — exact split data not found","TTM expenses Rs 85 cr — employees and technology dominate; OPM ~31%; borrowings ~Rs 1 cr","India e-commerce GMV projected >$100 bn (FY24 industry estimates); enablement SaaS a growing slice","Uniware SaaS subscriptions (recurring, high-margin); employee/tech cost discipline (31% OPM); Middle East/SEA expansion"
