"Ticker","Company","BusinessModel","RevenueStreams","Expenses","TAM","PL_Top3_Contributors"
"PVSL","Popular Vehicles & Services Ltd","Company sells and services Maruti Suzuki cars through dealership outlets. It also sells spare parts and earns commission on car loans and insurance.","Vehicle sales majority of revenue (FY25); after-sales service & spare parts; finance & insurance commission - splits data not found","Total expenses Rs 5383 cr (FY25); interest Rs 89 cr; depreciation Rs 99 cr; balance mainly cost of vehicles sold","India PV dealership & after-sales market - data not found","New vehicle sales volumes & margins; service & spare parts income; interest burden Rs 89 cr FY25 vs operating profit Rs 159 cr FY25"
"TVSSCS","TVS Supply Chain Solutions Ltd","Company manages supply chains for large businesses and governments. It moves goods, runs warehouses, runs in-plant logistics, and sources parts.","Integrated Supply Chain Solutions 55% (H1 FY25) vs 40% (FY22); Network Solutions balance; revenue Rs 9996 cr FY25, Rs 11003 cr FY26","Total expenses Rs 10225 cr (FY26); interest Rs 165 cr; depreciation Rs 570 cr; balance staff & transport costs","India logistics / contract logistics market - data not found","Mix shift to Integrated Supply Chain Solutions; interest cost on Rs 2755 cr FY26 borrowings; heavy depreciation from owned assets"
"DENTA","Denta Water & Infra Solutions Ltd","Company designs and builds water management projects. It installs groundwater recharge systems using recycled water and also builds railway and highway works.","Water management / groundwater recharge projects - majority; railway & highway infrastructure - balance; splits data not found; revenue Rs 203 cr FY25","Total expenses Rs 135 cr (FY25) mainly project execution costs; borrowings just Rs 1 cr so interest negligible","India water infra / groundwater recharge market - data not found","Water project execution at 34% OPM (FY25); government order flow; near-zero interest cost passes profit to PAT"
"SHANTIGOLD","Shanti Gold International Ltd","Company makes 22KT gold jewellery - bangles, rings, necklaces and sets - for daily-wear, festive and bridal buyers, using CZ casting techniques.","Gold jewellery across daily-wear, festive, bridal collections - splits data not found; revenue Rs 2019 cr FY26","Total expenses Rs 1820 cr (FY26) mainly gold cost; interest Rs 18 cr; depreciation Rs 6 cr","Indian gold jewellery market - one of world's largest - data not found","Gold price levels; bridal & festive volumes; making charges premium over gold cost"
"TATACAP","Tata Capital Ltd","Company lends money to businesses and consumers under the Tata brand. It also runs wealth services and distributes Tata credit cards.","Commercial Finance; Consumer Loans; Wealth Services; Tata Cards distribution - segment splits data not found; revenue Rs 31566 cr FY26","Interest expense Rs 15985 cr (FY26); operating expenses Rs 8458 cr; depreciation Rs 538 cr","Indian NBFC lending market (loan book Rs 2.77 lakh cr FY26) - data not found","Net interest margin 19% FY25 to 23% FY26; loan book growth; credit costs with gross NPA only 0.80% FY26"
"HEXT","Hexaware Technologies Ltd","Company builds software and AI systems for global businesses. It sells AI-based technology services through its own platforms and tools.","IT & AI services revenue Rs 13430 cr (FY25), +12% YoY; segment mix data not found","Total expenses Rs 11514 cr (FY25) mainly employee costs; interest Rs 106 cr; depreciation Rs 361 cr","Global IT / AI services market - data not found","Billed delivery volumes; utilisation & pricing (OPM slipped 15% to 14% FY24-FY25); AI platform-led deal margins"
"LGEINDIA","LG Electronics India Ltd","Company makes and sells washing machines, refrigerators, TVs, air conditioners and microwaves. It leads Indian offline market share in these categories.","Home appliances & consumer electronics - product splits data not found; revenue Rs 24367 cr FY25","Total expenses Rs 21252 cr (FY25) mainly materials & employee costs; interest just Rs 35 cr; depreciation Rs 380 cr","Indian home appliances & consumer electronics market - data not found","AC & refrigerator volumes; premium-mix margin expansion (OPM ~10% to 13% FY25); near-zero leverage on distribution scale"
"MUKKA","Mukka Proteins Ltd","Company turns fish into fish meal, fish oil and soluble paste. Feed makers for shrimp, poultry and pets buy these, and fish oil also goes into Omega-3 pills.","Fish meal - dominant; fish oil; fish soluble paste - splits data not found; revenue Rs 1006 cr FY25","Total expenses Rs 912 cr (FY25) mainly raw fish cost; interest Rs 37 cr; depreciation Rs 14 cr","Indian aqua feed / fish meal & fish oil market - data not found","Raw fish catch availability & cost; aqua/poultry feed demand; fish oil export prices and Rs 37 cr FY25 interest"
"CAPINVIT","Capital Infra Trust","Trust owns finished national highway projects and collects annuity income from NHAI. It buys roads from sponsors and third parties and pays cash to unit holders.","Annuity/toll income from NHAI highway concessions; revenue Rs 404 cr FY25, TTM Rs 717 cr (FY24 Rs 1466 cr not comparable)","Total expenses Rs 17 cr (FY25); interest Rs 21 cr; depreciation nil; borrowings Rs 2363 cr","Indian highways monetisation / InvIT pipeline - data not found","NHAI annuity collections; cost of AAA-rated debt; sponsor road drop-down acquisitions"
"KROSS","Kross Ltd","Company forges and machines safety-critical parts for trucks and tractors - trailer axles, suspensions, axle shafts and gears - from forging through finishing.","Trailer axles & suspensions; tractor components; truck transmission & chassis parts - splits data not found; revenue Rs 673 cr FY26","Detailed expense heads data not found; raw material steel dominant for a forger; interest & depreciation data not found","Indian trailer axle & forged components market - data not found","Trailer axle & suspension sales; tractor components (farm cycle); export volumes & steel input costs"
