Ticker,Company,BusinessModel,RevenueStreams,Expenses,TAM,PL_Top3_Contributors
"AFCONS","Afcons Infrastructure Ltd","Company builds metros, bridges, roads, ports, jetties, tunnels and dams. Sells EPC construction services mainly to government clients like railways, NHAI and port authorities. Shapoorji Pallonji Group controls it.","Transportation (metros/roads/bridges) largest segment; marine works; building & housing; hydro & underground - FY25 mix per company reports; order book ~Rs 40,000+ cr FY25","Construction materials & subcontracting dominant; finance costs Rs 674 cr FY26; depreciation Rs 454 cr FY26; interest ~5-6% of sales FY26","India infra pipeline ~Rs 100+ lakh crore over 2020-25 (National Infrastructure Pipeline, govt estimates)","Execution pace on transportation order book; specialised marine/tunnel projects; finance costs & 105 debtor days dragging profit"
"VIKRAMSOLR","Vikram Solar Ltd","Company makes solar PV modules and builds solar plants as EPC contractor. Sells to NTPC, Adani Green, Tata Power and other developers. Listed Sept 2025 after a large IPO.","Solar modules dominant revenue; EPC services; new cell manufacturing & IPP revenue starting FY26 (mix split not disclosed here)","Raw materials (cells, glass, EVA) ~60-70% of revenue per DRHP; interest Rs 160 cr FY26; depreciation Rs 162 cr FY26","India targets ~500 GW non-fossil capacity by 2030 (govt); global module market US$100 bn+ (industry estimates)","Module volumes & TOPCon capacity utilisation; module price vs raw material cost spread; cell/IPP entry adding margin"
"WAAREEENER","Waaree Energies Ltd","Company makes solar PV modules at multi-GW scale, builds solar plants, and sells modules in the US through Waaree Solar Americas. India's largest module maker by capacity; listed Oct 2024.","Domestic modules dominant FY26; US (Americas) module sales; EPC/O&M and emerging IPP/wafer-cell integration (mix not disclosed here)","Raw materials (cells, glass, EVA) ~70%+ of revenue per DRHP; interest Rs 280 cr FY26; depreciation Rs 990 cr FY26","India ~500 GW by 2030 target; US utility-scale solar market tens of GW/yr; global solar equipment hundreds of US$ bn (industry estimates)","India module volumes & prices; US sales realisations; backward integration into cells/wafers lifting margins"
"DAMCAPITAL","Dam Capital Advisors Ltd","Company advises businesses on IPOs, fund raises and M&A deals, plus asset and wealth management. Earns fees when deals close. Boutique investment bank, formerly Investec Capital India; listed Dec 2024.","ECM (IPO/QIP) fees dominant; M&A & advisory fees; AMC/wealth management fees growing (FY25 mix not disclosed)","Employee costs & bonus pool the dominant expense head; interest minimal Rs 9 cr FY25; depreciation Rs 14 cr FY25","India ECM fees US$1 bn+ in boom year 2024 (league tables); MF AUM Rs 70+ lakh crore (AMFI 2025)","Equity capital markets fee cycle; M&A advisory mandates; employee bonus pool matching fee income"
"INDIASHLTR","India Shelter Finance Corporation Ltd","Company gives small home loans to self-employed borrowers in tier-2/3 towns, secured by property. Borrows from banks and bonds, lends at a spread. Listed Dec 2023.","Interest income on home loans dominant (AUM ~Rs 6,000+ cr FY25); small ticket sizes avg ~Rs 10 lakh per company data","Interest cost Rs 446 cr FY25 (biggest head); operating expenses Rs 417 cr FY25; credit provisions rising with book","Self-employed affordable housing finance in tier-2/3 India estimated Rs 10+ lakh cr addressable (industry/NHB estimates)","Net interest income at ~9%+ NIM; cost of funds on Rs 6,246 cr borrowings FY25; credit costs on small-town book"
"IXIGO","Le Travenues Technology Ltd","Company runs the ixigo travel app for booking train, flight and bus tickets plus train tracking. Owns ConfirmTatkal and AbhiBus. Earns booking fees, commissions and ad money. Listed June 2024.","Train ticketing & ancillary fees core niche; flights and AbhiBus bus bookings FY26; advertising (mix split not disclosed here)","Employee and marketing the biggest heads; cost of sales/agent incentives; other income Rs 66 cr FY26 from treasury cash","Indian online travel market US$40 bn+ growing double digits (industry estimates); tens of millions of daily rail travellers","Train-ticket volumes & convenience fees; flight/bus plus ad revenue; treasury interest padding FY26 PAT of Rs 96 cr"
"RKSWAMY","R K Swamy Ltd","Company sells advertising, media planning, market research and customer-data analytics services to consumer and financial clients. Decades-old ad-services group; listed March 2024.","Media buying & integrated marketing services dominant; analytics & customer data practice growing (mix split not disclosed here)","Employee costs the dominant expense; other expenses incl media pass-through; interest minimal Rs 3 cr FY26","Indian ad industry ~Rs 1 lakh crore+ growing high single/double digits (FICCI-EY estimates)","Client media budgets; employee cost & utilisation; analytics arm margins vs ad-buying margins"
"ADVANCE","Advance Agrolife Ltd","Company makes agrochemical formulations and technicals - insecticides, fungicides, pesticides - from Gujarat plants. Sells to farmers via distributors and exports. Listed Aug 2025.","Domestic formulations dominant; exports; technical-grade agrochemicals new capacity (FY25 mix not disclosed)","Raw materials (imported technicals/intermediates) dominant ~bulk of Rs 447 cr FY25 expenses; interest Rs 7 cr FY25; depreciation Rs 8 cr FY25","Indian agrochemical market ~Rs 60,000-70,000 crore, mid-to-high single digit growth (industry/CRISIL-type estimates)","Formulation volumes via distributor network; raw material (imported technicals) costs; export realisations & new capacity use"
"GLOBECIVIL","Globe Civil Projects Ltd","Company builds roads and highways as an EPC contractor, mainly for NHAI and government authorities. Gets paid as work completes. Listed Aug 2025.","Road/highway EPC dominant; other civil works small (mix split not disclosed; order book data not found)","Construction materials & subcontracting dominant; interest Rs 20 cr FY26; depreciation Rs 6 cr FY26; debtor-heavy working capital","NHAI/MoRTH award tens of thousands of crore of road EPC/HAM projects annually (govt data)","EPC execution margin on road order book; interest cost (Rs 20 cr vs Rs 31 cr PBT FY26); order inflow pace"
"GOPAL","Gopal Snacks Ltd","Company makes ethnic Indian snacks - gathiya, namkeen, papad, farali products - from Gujarat factories. Sells through distributors across India under its own brand. Listed March 2024.","Gathiya & namkeen dominant; papad; farali & other snacks FY26 (mix split not disclosed)","Raw materials (besan, edible oil, packaging) ~55-60% of revenue per DRHP; interest Rs 7 cr FY26; depreciation Rs 39 cr FY26","Indian savoury/ethnic snacks market ~Rs 50,000-60,000 crore+ (industry estimates ~2024)","Gathiya/namkeen volumes & distribution expansion; input costs (gram flour, oil); FY25 exceptional item (-Rs 42 cr other income) behind profit crash"
