Ticker,Company,BusinessModel,RevenueStreams,Expenses,TAM,PL_Top3_Contributors
"STUDDS","Studds Accessories Limited","Company makes two-wheeler helmets and riding gear. Sells under Studds (mass market) and SMK (premium) brands. Ranks as world's second-largest helmet maker by volume.","Helmets (majority of sales; helmet vs accessories split data not found); premium SMK brand growing; domestic plus exports","Raw materials (ABS, polycarbonate, EPS) dominate - exact % data not found; OPM ~20% (FY26)","Indian two-wheeler helmet market ~Rs 8,000-12,000 crore (estimate; sourced figure data not found)","Helmet volumes and premium SMK mix; raw material costs; domestic two-wheeler demand plus exports"
"GODAVARIB","Godavari Biorefineries Ltd","Company turns sugarcane into sugar, ethanol, bio-based chemicals and power at one integrated biorefinery. Part of Somaiya Group. Largest Indian MPO maker; one of two global makers of natural 1,3-Butylene Glycol.","Integrated mix of sugar, ethanol, bio-based chemicals, power (segment % data not found); revenue Rs 1,965 crore (FY26)","Cane cost dominates - exact % data not found; OPM ~6% (FY26); interest on Rs 525 crore debt","India ethanol blending (E20) procurement market; sugar industry ~Rs 1.5+ lakh crore (sourced figure data not found)","Ethanol realisation and government blending price; sugar price vs cane cost; speciality chemical margins (MPO, 1,3-BG)"
"DEVX","Dev Accelerator Limited","Company runs managed and co-working office spaces, focused on Tier-2 cities. Also does design and fit-outs, payroll/facility services and IT services.","Managed/co-working flex space (core); design and execution (Neddle & Thread); payroll/facility management; IT services; revenue Rs 171 crore (FY26)","Lease rentals on centres - largest head; finance cost ~26% of sales (FY26); borrowings Rs 226 crore","India flex office market ~60-70 million sq ft, growing 15-20% yearly (estimate; sourced figure data not found)","Seat occupancy and rental spreads; lease rental expense; finance costs on Rs 226 crore debt"
"EXCELSOFT","Excelsoft Technologies Ltd","Company builds software for digital learning and online exams - learning management systems and assessment platforms. Sells to universities, test providers, publishers and enterprises.","LMS and assessment platform licences/subscriptions (majority); services; revenue Rs 273 crore (FY26)","Employee cost dominates (software firm; exact % data not found); OPM ~26% (FY26); interest down to Rs 4 crore (FY25)","Global ed-tech/digital assessment market in tens of billions USD; Indian online education multi-billion USD (sourced figure data not found)","Assessment/LMS subscription revenue; employee costs; margin recovery from FY24 trough (OPM 34% FY23 to 26% FY26)"
"FIRSTCRY","Brainbees Solutions Ltd","Company runs FirstCry, India's largest mother-baby-kids products platform, selling online and through stores. Also runs GlobalBees brands and international baby-care sites.","Product sales online plus offline stores (majority); GMV Rs 10,585 crore (FY25); standalone revenue Rs 2,732 crore (FY26); other income Rs 211 crore (TTM)","Cost of goods dominates; fulfilment and logistics; advertising/discount spend - exact % data not found; OPM ~3.6% (FY26)","India baby-care market ~USD 10+ billion growing 10-15% yearly (estimate; sourced figure data not found)","Product gross margin; fulfilment/logistics costs; advertising and discount spend plus other income"
"MEDIASSIST","Medi Assist Healthcare Services Limited","Company processes health-insurance claims as a third-party administrator for insurers. Runs hospital networks and manages policies; earns fees tied to claims volume.","TPA claims processing fees (core); network and hospital management; policy administration services; revenue Rs 225 crore (FY26)","Asset-light; OPM ~36% (FY26); minimal debt Rs 5 crore; employee cost main head (exact % data not found)","Indian health insurance premium pool ~Rs 1.2+ lakh crore growing 15-20% yearly (sourced figure data not found)","Claims volume growth from insurance penetration; automation-driven margin leverage (OPM 5% FY23 to 36% FY26); network management fees"
"VENTIVE","Ventive Hospitality Ltd","Company owns and runs 13 luxury hotels and resorts (2,178 keys) in India, Maldives and Sri Lanka. Operates them under Marriott, Hilton, Minor and Atmosphere brands.","Luxury hotel room revenue (~80% luxury focus); F&B and banquets; other income Rs 106 crore (FY26); revenue Rs 638 crore (FY26)","Hotel operating costs; finance cost on Rs 862 crore borrowings; OPM ~49% (FY26)","India tourism/hospitality ~USD 100+ billion trajectory; luxury segment outgrowing mid-market (sourced figure data not found)","Maldives resort room revenue (dollar earnings); Indian luxury hotel F&B/banquets; other income and finance costs on Rs 862 crore debt"
"VIKRAN","Vikran Engineering Limited","Company builds power transmission lines, distribution networks, water infrastructure and railway projects on a turnkey basis. Handles design through commissioning.","Power transmission and distribution EPC (core); water infrastructure; railway electrification; revenue Rs 1,249 crore (FY26)","Raw materials - steel, conductors, cables - dominate (exact % data not found); OPM ~14% (FY26); interest on Rs 301 crore debt","India power transmission capex several lakh crore over next decade; railway electrification and water spend add more (sourced figure data not found)","Execution pace on transmission/DISCOM orders; raw material (steel) costs; working capital interest - 296 debtor days"
"MBEL","M & B Engineering Ltd","Company makes pre-engineered buildings - factory sheds, warehouses and industrial structures from steel, with in-house design. Two divisions cover design and manufacture/erection.","PEB design and manufacture (core); erection services; revenue Rs 1,085 crore (FY26)","Steel/raw materials dominate (exact % data not found); expenses 89% of sales (FY26); borrowings cut to Rs 84 crore","Indian PEB market ~Rs 15,000-20,000 crore growing 10-15% yearly (estimate; sourced figure data not found)","Steel cost vs contract prices; order-book execution and utilisation; operating leverage (OPM 8% FY23 to 11-13% FY25-26)"
"MIDWESTLTD","Midwest Ltd","Company mines and processes natural stone, dominant in Black Galaxy and Absolute Black granite. Also makes diamond wire, quartz surfaces and develops heavy mineral sands.","Granite slabs and stone (core); quartz surfaces; diamond wire; emerging heavy mineral sands; revenue Rs 422 crore (FY26)","Total expenses 66% of sales (FY26) - mining and processing costs dominate; depreciation Rs 19 crore; interest Rs 8 crore","Indian natural stone industry ~USD 5+ billion with large export share; quartz growing 10%+ globally (sourced figure data not found)","Granite export realisations on scarce Black Galaxy quarries; mining/processing costs; new quartz and mineral sands ventures"
