Ticker,Company,BusinessModel,RevenueStreams,Expenses,TAM,PL_Top3_Contributors
"FRACTAL","Fractal Analytics Ltd","Builds AI and data analytics solutions for big global companies. Sells consulting projects and GenAI products like Vaidya and Eugenie. People-heavy services business.","AI/analytics consulting majority of revenue (FY25); GenAI product platforms growing; exact mix data not found","Employee costs dominant (exact % data not found); finance cost Rs 12 cr FY25; almost debt free","Global AI/analytics services market - large and growing; exact figure data not found","Enterprise AI consulting engagements; GenAI product platforms; employee cost leverage (OPM 1.3% FY23 to 14% FY25)"
"GAJA","Gaja Alternative Asset Management Ltd","Runs alternative investment funds for wealthy investors, focused on Indian real estate and special situations. Earns management fees on assets plus a share of fund profits.","Management fees on AIF assets (FY24); performance fees/carry from exits; lumpy other income (Rs 56 cr FY23)","Fund operating and employee costs data not found; finance cost Rs 1 cr FY24","Indian AIF industry - large and growing; exact figure data not found","Management fees on AUM; performance carry from real estate exits; other income"
"GAUDIUMIVF","Gaudium IVF and Women Health Ltd","Runs fertility clinics that help couples have babies through IVF. Hub-and-spoke model with 30+ locations and an in-house pharmacy. Repeatable clinic expansion story.","IVF/ART treatment cycles core (FY25); in-house pharmacy sales; womens health services; exact mix data not found","Total expenses Rs 31 cr = 52% of FY25 sales; finance cost Rs 2 cr FY25; borrowings Rs 21 cr","India IVF/fertility market - under-penetrated; exact figure data not found","IVF treatment cycles; pharmacy sales to own patients; spoke clinic occupancy ramp"
"GKSL","Gujarat Kidney & Super Speciality Ltd","Runs mid-sized multi-speciality hospitals in central Gujarat focused on kidney care plus other specialities. Earns from surgeries, dialysis, beds, diagnostics and pharmacy.","Hospital services - surgeries, dialysis, IP/OP (FY25); diagnostics and pharmacy; segment mix data not found","OPM 44% FY25 implies ~56% expense ratio; finance cost Rs 0.53 cr FY25; borrowings Rs 5.48 cr","Indian hospital/kidney-care market - large and under-served; exact figure data not found","In-patient surgeries and procedures; dialysis and repeat outpatient revenue; bed occupancy ramp (OPM 33% FY24 to 44% FY25)"
"GSPCROP","GSP Crop Science Ltd","Makes crop protection chemicals - fungicides and insecticides - as formulations and technicals, since 1985. Sells to farmers via distributors and exports.","Formulations and technicals two verticals (FY25); exports meaningful; exact mix data not found","Raw materials dominant (exact % data not found); finance cost Rs 30 cr FY25; borrowings Rs 247 cr","Indian crop protection market - multi-billion dollar incl exports; exact figure data not found","Formulations with better margins; export volumes; raw material cost cycle (OPM 4.6% FY23 to 9% FY25)"
"HEXAGON","Hexagon Nutrition Ltd","Makes micronutrient premixes, clinical nutrition and ready-to-use foods. Sells to food companies and government nutrition programmes. Operating since 1993.","Micronutrient premixes core; ready-to-use foods and MNPs for institutions; branded wellness; exact mix data not found","Total expenses Rs 276 cr FY26; other income Rs 16 cr props earnings; borrowings Rs 25 cr","Global micronutrient premix/fortification market - large; exact figure data not found","Premix sales to food/FMCG companies; institutional nutrition programmes; margin recovery (OPM -0.8% FY23 to 14% FY26)"
"HORIZONIND","Horizon Industrial Parks Ltd","Owns and rents modern warehouses and industrial parks across India to e-commerce, logistics and manufacturing tenants. Blackstone-backed platform earning long-lease rents.","Rental income from warehouses core; other income Rs 167 cr FY26; lease escalations","Interest Rs 73 cr FY26 - largest drag; expenses Rs 136 cr FY26; low interest coverage flagged","Indian warehousing/industrial real estate - large, GST/e-commerce driven; exact figure data not found","Rental income from leased portfolio; other income (Rs 167 cr FY26) drove profit swing; interest cost refinancing"
"ICICIAMC","ICICI Prudential Asset Management Company Ltd","Runs mutual funds, PMS and AIFs for Indian investors. Earns fees as a percentage of assets under management. Largest active mutual fund manager by QAAUM; JV of ICICI Bank and Prudential.","Mutual fund management fees core (FY25); PMS and AIF fees; offshore advisory; exact mix data not found","Operating margin 73-74% - among lowest cost structures; zero borrowings; employee ~3% of sales","India mutual fund AUM - fast-growing SIP-driven pool; exact figure data not found","Active equity MF management fees; equity/hybrid mix shift lifting fee rates; operating leverage at 73% margins"
"INDOMIM","Indo-MIM Ltd","Makes small complex metal parts via metal injection moulding - moulding metal powder like plastic. Sells precision components to firearms, auto, aerospace, electronics and medical customers. Among the worlds largest MIM producers.","MIM components across firearms/consumer, automotive, aerospace, medical (FY25); exact mix data not found","Total expenses Rs 1,936 cr FY25; finance cost Rs 87 cr FY25; borrowings Rs 1,266 cr","Global MIM components market - multi-billion dollar; exact figure data not found","Consumer/firearms MIM volumes; auto and aerospace diversification; raw material cycle and utilisation (PAT Rs 416/288/404 cr FY23-25)"
"INNOVISION","Innovision Ltd","Provides manpower services, toll plaza management and skill-development training. Grew from private security into staffing, facility management and toll operations.","Manpower/staffing services core (FY26); toll plaza management fees; training; exact mix data not found","Total expenses Rs 923 cr FY26 - wage-heavy at 6% OPM; finance cost Rs 13 cr FY26; borrowings Rs 125 cr","Indian staffing/facility management/toll operations - very large; exact figure data not found","Staffing contract volumes; toll management fees; wage cost and compliance management"
