"Ticker","Company","BusinessModel","RevenueStreams","Expenses","TAM","PL_Top3_Contributors"
"MANKIND","Mankind Pharma Limited","Company makes medicines - tablets, capsules and syrups - and sells them at low prices through chemists across India. Doctors prescribe its brands for infections, heart, stomach and skin ailments. It also sells consumer products like Manforce condoms and Prega News kits.","Domestic branded formulations ~75%+ of revenue, ~97% of operating revenue from India (FY25); consumer healthcare/OTC (Manforce, Prega News); US generics and emerging markets; BSV women's health and critical care portfolio","Total expenses ~75% of sales (FY25-FY26); OPM steady 25-26%; raw material, detail-force/selling and BSV-related interest and amortisation the main heads (exact split data not found)","Indian pharmaceutical market roughly Rs 4+ lakh cr domestic formulations, growing high single/low double digits (approximate)","Domestic branded formulations - core profit engine; BSV acquisition - currently dilutes PAT via interest and amortisation; consumer healthcare OTC - high-margin kicker"
"NORTHARC","Northern Arc Capital Limited","Company lends to small borrowers across India - microfinance, small business, consumer and vehicle loans - and runs a platform connecting other lenders with these borrowers. It has enabled over Rs 2.3 lakh crore of financing touching 130 million-plus lives.","Retail lending across microfinance, small business loans, consumer finance and structured finance segments; plus debt platform/structuring fees (segment % split data not found)","Borrowings Rs 12,258 cr vs assets Rs 16,745 cr; financing margin ~20%; provisions/credit costs the swing head (details data not found)","Indian financial-inclusion retail credit to underserved households and businesses - lakh-crore scale (precise figure data not found)","Microfinance portfolio and platform flows; small business and consumer/vehicle lending; credit costs - the main profit/loss swing factor"
"AJAXENGG","Ajax Engineering Limited","Company builds machines that make, carry and pour concrete - self-loading mixers, batching plants, boom pumps and 3D concrete printers. Construction firms buy these machines instead of mixing concrete by hand. Second-largest concrete equipment maker in India by volume.","Self-loading concrete mixers (flagship); batching plants; concrete paving and placement equipment; advanced solutions incl 3D concrete printing (mix % data not found)","OPM ~12%; near debt-free (Rs 2 cr borrowings); working capital days rose from 69 to 161 (receivables-heavy); cost heads split data not found","India concrete equipment market tied to infra and housing capex (size data not found)","Self-loading mixer sales; government infra/housing capex cycle; working capital swings from receivables"
"GROWW","Billionbrains Garage Ventures Limited (Groww)","Company runs a phone app where Indians buy and sell shares, mutual funds, derivatives and gold. Customers do everything themselves without brokers. India's largest digital investment platform by active users on the NSE.","Derivatives (F&O) trading income - largest and highest-margin; equity brokerage and margin trading (MTF) interest; mutual fund distribution and platform fees (exact % split data not found)","Operating margin 59% (FY26); nearly debt-free; technology and people the main cost heads (split data not found)","Indian retail investing - demat accounts past 10 crore, low mutual fund penetration (precise TAM data not found)","F&O trading income; equity brokerage plus MTF interest; mutual fund distribution and platform fees"
"MUTHOOTMF","Muthoot Microfin Limited","Company gives small loans, mostly to village women, so they can run tiny businesses like cattle-rearing, shops and tailoring. Women's groups guarantee each other's loans. Among India's largest NBFC-MFIs, 2nd by gross loan portfolio in FY23.","Micro-loans to women under joint-liability groups - essentially all revenue; AUM Rs 14,457 cr (Q1 FY27); strongest in Kerala and Tamil Nadu (~16% TN share)","Financing margin swung from 27% (FY24) to negative (FY25) to 10% (FY26); credit cost 2.6% (Q1 FY27); borrowings from banks the main funding cost","Indian microfinance gross loan portfolio in lakh of crores (precise figure data not found)","Net interest income on JLG loan book; credit costs/provisions - flipped FY24 profit to FY25 loss and back; cost of bank borrowings"
"AGARWALEYE","Dr. Agarwals Health Care Limited","Company runs India's largest chain of eye hospitals, doing cataract and laser eye surgeries plus check-ups, glasses and eye drops. It holds roughly a quarter of the organised eye-care market and expands into smaller cities.","Cataract surgeries - highest volume; refractive (LASIK) surgeries - premium priced; consultations, opticals and pharma products (mix % data not found)","Operating margin ~27% (FY26); borrowings Rs 1,066 cr; hospital capex and doctor costs the main heads (split data not found)","Indian eye-care market - millions of cataract surgeries yearly, low organised-chain penetration in tier-2/3 (size data not found)","Cataract surgeries; refractive surgeries; new hospitals maturing from ramp-up losses to profit"
"IKS","Inventurus Knowledge Solutions Limited","Company handles paperwork for doctors' groups in the US, Canada and Australia - billing, coding, records and care coordination - via a software-plus-services platform under a fee-for-value model. Doctors pay it so they can focus on treating patients.","Fee-for-value contracts with US physician enterprises - effectively all revenue; IT-enabled healthcare services across US, Canada, Australia","OPM 34%; interest Rs 62 cr TTM on Rs 766 cr borrowings; delivery people and platform costs the main heads (split data not found)","US healthcare revenue-cycle-management and care-enablement - multi-billion dollar market (precise figure data not found)","Fee-for-value US contracts; operating leverage on the platform; client concentration and US policy - main downside levers"
"RBZJEWEL","RBZ Jewellers Limited","Company manufactures antique-style gold jewellery - Jadau, Meena, Kundan, Polki - at its Ahmedabad factory with 250 artisans, capacity 2+ tonnes a year. It wholesales to about 190 retailers incl Titan, Malabar, Senco and PNG across 20 states.","Wholesale antique gold jewellery to large retail chains - the whole business; revenue FY25 Rs 530 cr, FY26 Rs 636 cr (stockanalysis/S&P data)","Gold metal dominates costs, typically 80-90% of sales for antique-jewellery makers (exact split data not found); net margin ~8-9%","Indian gold jewellery market - one of world's largest, multiple lakh crores annually (precise figure data not found)","Wholesale orders from big chains (Titan, Malabar, Senco); gold price movements; artisan productivity and metal-loss control"
"GKENERGY","GK Energy Limited","Company installs solar-powered water pumps for farmers under the government PM-KUSUM scheme - panels, pump and wiring as an EPC contractor. Over 1,00,000 solar pumps installed; empanelled in Maharashtra, Haryana, Rajasthan, UP and MP. Won Rs 454.5 cr rooftop solar order (Aug 2026).","Solar pump EPC under PM-KUSUM component B and state schemes (MTSKPY, PMKMSY, SSY) - nearly all revenue; new rooftop solar (PM Surya Ghar) leg, Rs 454.5 cr won Aug 2026","OPM ~20%; borrowings Rs 203 cr vs equity Rs 885 cr; solar panels/equipment and subsidy-receivable funding the main heads (split data not found)","PM-KUSUM targets tens of lakh solar pumps plus state schemes and rooftop solar - well above Rs 1 lakh cr over scheme horizon (approximate)","PM-KUSUM solar pump EPC contracts; government subsidy payment timing; new rooftop-solar orders as second leg"
"IGCL","Indogulf Cropsciences Limited","Company makes crop protection chemicals - insecticides, fungicides, herbicides - plus plant nutrients and biologicals for farmers. Sells its own brands in India and manufactures on contract for global agrochem companies, exporting to 34+ countries. Promoters hold 69%.","Domestic crop-protection formulations (B2C brands); B2B/contract manufacturing exports; plant nutrients and biologicals (mix % data not found); FY26 revenue Rs 676 cr","OPM ~10%; raw materials (China-imported intermediates) the dominant cost head; borrowings Rs 177 cr (exact % split data not found)","Indian agrochemical market roughly Rs 60,000+ cr plus global export demand (approximate industry estimates)","Domestic formulation sales; export/contract-manufacturing orders; raw-material cost swings - with 10% OPM inputs decide most of profit"
